user_id,city,job_type,income,expenses,savings,loan_amount,txn_frequency,digital_ratio,income_volatility,late_night_ratio,default
78,Bilaspur,Freelancer,20003.19,17661.73,2341.46,5490,143,0.64,0.4,0.26,1
79,Bilaspur,Shop Owner,19416.48,22581.45,-3164.97,10162,84,0.97,0.15,0.22,1
80,Bilaspur,Delivery Partner,19464.85,21016.63,-1551.78,17524,54,0.69,0.43,0.19,1
81,Raipur,Delivery Partner,24767.12,21576.35,3190.77,8943,174,0.72,0.34,0.22,0
82,Durg,Auto Driver,9103.69,8431.22,672.47,5687,153,0.85,0.46,0.04,1
83,Durg,Delivery Partner,33731.69,30265.9,3465.79,11446,87,0.9,0.17,0.21,0
84,Bilaspur,Shop Owner,14413.97,12920.52,1493.45,13104,167,0.93,0.18,0.03,0
85,Durg,Auto Driver,14381.45,13287.26,1094.19,16382,117,0.89,0.34,0.22,0
86,Bhilai,Auto Driver,15290.59,12345.89,2944.7,14298,123,0.74,0.32,0.07,0
87,Bilaspur,Freelancer,6940.05,4583.74,2356.31,17328,160,0.89,0.46,0.18,1
88,Korba,Delivery Partner,30812.0,31562.06,-750.06,10795,80,0.84,0.38,0.13,1
89,Raipur,Auto Driver,7665.23,5684.11,1981.13,5417,159,0.67,0.46,0.25,1
90,Bilaspur,Delivery Partner,26978.43,28234.27,-1255.84,8456,166,0.84,0.34,0.03,1
91,Durg,Delivery Partner,8240.9,6660.07,1580.84,5600,177,0.69,0.47,0.14,1
92,Bhilai,Shop Owner,8442.11,6642.96,1799.15,6380,112,0.71,0.17,0.07,0
93,Korba,Auto Driver,24330.71,22734.21,1596.5,11916,153,0.8,0.49,0.18,1
94,Raipur,Auto Driver,6526.96,4662.94,1864.02,11692,79,0.93,0.46,0.18,1
95,Durg,Street Vendor,24038.47,21361.85,2676.62,13485,112,0.64,0.31,0.1,0
96,Raipur,Delivery Partner,9712.31,10493.67,-781.35,18438,81,0.89,0.46,0.2,1
97,Durg,Delivery Partner,16670.74,15058.76,1611.98,10519,103,0.74,0.2,0.17,0
98,Bilaspur,Shop Owner,23669.54,17655.19,6014.35,11503,169,0.92,0.2,0.29,1
99,Bilaspur,Shop Owner,34450.23,20938.89,13511.34,18032,134,0.61,0.22,0.05,0
100,Bilaspur,Shop Owner,36849.03,29666.8,7182.23,6841,179,0.75,0.46,0.01,1
101,Raipur,Street Vendor,9045.73,7794.48,1251.24,9083,148,0.98,0.26,0.23,0
102,Raipur,Delivery Partner,28990.91,31307.67,-2316.76,5186,63,0.9,0.29,0.21,1
103,Bhilai,Shop Owner,36483.85,33397.83,3086.02,13372,147,0.71,0.43,0.01,1
104,Durg,Delivery Partner,9984.52,8418.44,1566.08,14875,136,0.64,0.3,0.04,0
105,Bilaspur,Street Vendor,25717.04,24696.34,1020.71,17156,187,0.97,0.45,0.13,1
106,Durg,Freelancer,10707.03,11165.51,-458.48,13555,164,0.7,0.12,0.12,1
107,Bilaspur,Freelancer,24936.33,20896.38,4039.94,4711,199,0.89,0.34,0.06,0
108,Raipur,Shop Owner,16600.43,14904.19,1696.24,14652,122,0.63,0.34,0.22,0
109,Bhilai,Freelancer,16661.3,10755.87,5905.43,3252,157,0.88,0.34,0.08,0
110,Durg,Shop Owner,30414.38,35805.61,-5391.23,18713,106,0.78,0.23,0.06,1
111,Raipur,Shop Owner,22048.1,24462.75,-2414.65,17896,138,0.86,0.36,0.21,1
112,Korba,Delivery Partner,22888.99,26440.2,-3551.2,14182,75,0.83,0.12,0.27,1
113,Bhilai,Delivery Partner,27584.77,32179.29,-4594.52,8737,165,0.94,0.47,0.1,1
114,Bilaspur,Delivery Partner,17892.41,15899.86,1992.55,18514,86,0.81,0.25,0.13,0
115,Bhilai,Street Vendor,16794.29,16383.42,410.88,15737,157,0.69,0.42,0.01,1
116,Raipur,Shop Owner,12667.45,14737.82,-2070.38,5810,172,1.0,0.45,0.11,1
117,Bilaspur,Shop Owner,17210.93,13132.15,4078.78,12616,59,0.64,0.29,0.1,0
118,Raipur,Shop Owner,15950.08,12963.8,2986.28,4033,117,0.89,0.2,0.18,0
119,Durg,Shop Owner,20888.22,21050.9,-162.69,12426,86,0.91,0.27,0.03,1
120,Bhilai,Auto Driver,26258.01,19404.75,6853.26,18220,112,0.69,0.17,0.25,0
121,Raipur,Auto Driver,22232.92,23739.22,-1506.3,17876,54,0.85,0.19,0.06,1
122,Korba,Delivery Partner,22387.65,20353.71,2033.95,16551,52,0.93,0.31,0.07,0
123,Bilaspur,Street Vendor,9236.51,10404.72,-1168.2,12874,78,0.96,0.33,0.29,1
124,Bhilai,Street Vendor,22575.95,14723.85,7852.09,9291,87,0.7,0.36,0.22,0
125,Korba,Auto Driver,17346.63,11200.35,6146.28,14880,163,0.8,0.19,0.14,0
126,Bilaspur,Delivery Partner,30018.69,27805.33,2213.36,3312,55,0.81,0.33,0.26,1
127,Raipur,Auto Driver,22903.02,26522.94,-3619.92,5738,56,0.95,0.23,0.29,1
128,Korba,Shop Owner,20100.41,16101.87,3998.55,5741,88,0.66,0.43,0.25,1
129,Korba,Auto Driver,7071.13,5627.63,1443.5,4064,153,0.7,0.18,0.19,0
130,Korba,Shop Owner,9678.43,8950.23,728.21,11439,112,0.76,0.14,0.05,0
131,Raipur,Street Vendor,29061.77,18619.94,10441.83,16527,66,0.91,0.47,0.21,1
132,Raipur,Auto Driver,21086.83,24968.77,-3881.95,13939,174,0.75,0.12,0.02,1
133,Durg,Freelancer,19597.2,22861.75,-3264.54,8540,88,0.81,0.16,0.25,1
134,Korba,Auto Driver,27464.82,27264.51,200.31,13645,141,0.89,0.13,0.27,1
135,Korba,Auto Driver,25221.88,30023.79,-4801.91,9424,107,0.96,0.26,0.07,1
136,Korba,Auto Driver,24837.69,27783.81,-2946.12,3607,109,0.67,0.36,0.26,1
137,Raipur,Delivery Partner,15376.1,16576.65,-1200.55,8059,73,0.97,0.31,0.18,1
138,Korba,Delivery Partner,22047.97,16212.4,5835.57,7109,166,0.84,0.2,0.13,0
139,Bilaspur,Delivery Partner,13422.19,11238.76,2183.43,10357,81,0.86,0.29,0.23,0
140,Raipur,Street Vendor,19352.57,14422.06,4930.51,7791,129,0.79,0.29,0.06,0
141,Bhilai,Street Vendor,16509.33,15033.84,1475.49,16056,126,0.63,0.1,0.12,0
142,Raipur,Delivery Partner,32421.72,20254.18,12167.54,8090,110,0.88,0.38,0.01,0
143,Bhilai,Street Vendor,33339.84,35675.42,-2335.58,4430,56,0.86,0.48,0.17,1
144,Korba,Auto Driver,9061.87,9414.86,-352.99,15258,61,0.7,0.36,0.05,1
145,Bhilai,Auto Driver,31965.83,35900.81,-3934.98,4356,81,0.8,0.29,0.17,1
146,Raipur,Freelancer,8832.39,7913.52,918.87,16025,84,0.69,0.23,0.13,0
147,Bilaspur,Street Vendor,13782.78,15267.84,-1485.06,17140,53,0.89,0.48,0.23,1
148,Bhilai,Auto Driver,27500.51,16985.32,10515.19,14003,115,0.84,0.31,0.24,0
149,Bhilai,Freelancer,24227.34,20116.16,4111.18,2529,89,0.93,0.21,0.07,0
150,Bilaspur,Shop Owner,18891.61,22345.7,-3454.09,2374,86,0.94,0.17,0.15,1
151,Bilaspur,Street Vendor,10162.56,10137.9,24.67,5814,119,0.86,0.34,0.09,0
152,Bhilai,Shop Owner,32356.62,21954.75,10401.87,14588,96,0.69,0.23,0.27,1
153,Bilaspur,Delivery Partner,17944.67,13444.66,4500.01,15994,50,0.7,0.43,0.11,1
154,Bilaspur,Auto Driver,12622.89,11168.46,1454.43,5568,169,0.92,0.39,0.18,0
155,Korba,Shop Owner,28143.86,18962.84,9181.02,2281,78,0.86,0.11,0.07,0
156,Korba,Delivery Partner,13221.18,8262.49,4958.69,10467,92,0.61,0.23,0.1,0
157,Korba,Freelancer,23603.74,21085.41,2518.33,9595,87,0.66,0.28,0.01,0
158,Bhilai,Delivery Partner,10593.98,12521.53,-1927.55,11206,57,0.66,0.18,0.07,1
159,Bilaspur,Auto Driver,19847.99,12117.39,7730.6,17504,75,0.95,0.49,0.17,1
160,Bhilai,Freelancer,24377.6,23411.41,966.19,15598,191,0.76,0.42,0.2,1
161,Korba,Delivery Partner,6599.19,7828.64,-1229.46,9848,138,0.95,0.5,0.23,1
162,Korba,Auto Driver,13805.98,10992.6,2813.38,6114,131,0.95,0.45,0.1,1
163,Korba,Auto Driver,11866.32,7160.79,4705.53,5726,114,0.75,0.15,0.12,0
164,Bhilai,Street Vendor,11545.28,10707.23,838.05,16437,60,0.84,0.32,0.2,0
165,Korba,Street Vendor,11268.49,13194.13,-1925.64,12693,166,0.93,0.3,0.03,1
166,Durg,Shop Owner,29425.34,28387.89,1037.45,18173,157,0.98,0.33,0.01,0
167,Korba,Freelancer,34043.85,28189.83,5854.02,14611,70,0.79,0.48,0.06,1
168,Bhilai,Street Vendor,16744.87,19386.6,-2641.73,15467,84,0.83,0.31,0.03,1
169,Raipur,Street Vendor,26617.1,24314.42,2302.68,3286,144,0.94,0.49,0.24,1
170,Bhilai,Auto Driver,19756.93,17586.19,2170.75,3798,103,0.82,0.2,0.01,0
171,Korba,Street Vendor,23472.34,22442.45,1029.89,6616,64,0.84,0.36,0.12,0
172,Raipur,Street Vendor,12479.22,13331.74,-852.52,14337,68,0.94,0.24,0.2,1
173,Raipur,Shop Owner,12571.32,11967.46,603.86,18866,157,0.95,0.35,0.07,0
174,Raipur,Street Vendor,21303.24,20936.33,366.92,11160,127,0.85,0.19,0.02,0
175,Bhilai,Shop Owner,27279.09,22985.12,4293.97,13543,95,0.64,0.15,0.22,0
176,Bilaspur,Shop Owner,31249.6,29919.94,1329.66,18456,185,0.75,0.21,0.1,0
177,Durg,Freelancer,16862.39,10824.96,6037.43,6255,198,0.71,0.43,0.18,1
178,Bhilai,Freelancer,8601.88,5431.25,3170.62,11686,79,0.73,0.28,0.17,0
179,Bilaspur,Delivery Partner,24261.19,17481.65,6779.54,2207,155,0.64,0.17,0.14,0
180,Korba,Freelancer,26405.97,30533.4,-4127.43,2236,72,0.76,0.37,0.05,1
181,Korba,Freelancer,17676.65,11591.59,6085.05,6895,65,0.8,0.2,0.05,0
182,Bhilai,Freelancer,27209.01,22543.91,4665.1,4817,124,0.93,0.19,0.08,0
183,Raipur,Street Vendor,13575.92,12825.88,750.04,7435,150,0.76,0.16,0.15,0
184,Raipur,Shop Owner,35639.66,39946.14,-4306.48,10325,116,0.92,0.25,0.09,1
185,Raipur,Freelancer,13406.69,15744.73,-2338.04,18127,59,0.93,0.16,0.04,1
186,Korba,Shop Owner,17306.35,18325.45,-1019.1,16716,180,0.98,0.29,0.25,1
187,Korba,Freelancer,23664.63,16117.98,7546.66,15891,61,0.99,0.13,0.13,0
188,Bhilai,Delivery Partner,28518.71,20807.9,7710.81,7179,80,0.62,0.14,0.23,0
189,Bilaspur,Auto Driver,33472.26,32524.95,947.31,7078,132,0.67,0.29,0.02,0
190,Bilaspur,Shop Owner,9653.27,8742.51,910.75,3638,89,0.93,0.38,0.18,0
191,Durg,Auto Driver,21300.58,22037.38,-736.8,11700,165,0.76,0.36,0.2,1
192,Korba,Street Vendor,9180.76,10817.62,-1636.87,6481,111,0.79,0.17,0.01,1
193,Raipur,Auto Driver,16662.16,13231.42,3430.73,16828,131,0.63,0.18,0.01,0
194,Durg,Delivery Partner,28132.1,31131.39,-2999.28,12749,83,0.73,0.32,0.22,1
195,Bilaspur,Shop Owner,34413.03,23396.97,11016.06,2016,169,0.73,0.26,0.21,0
196,Raipur,Delivery Partner,10338.48,11796.8,-1458.32,10906,83,0.75,0.44,0.14,1
197,Raipur,Auto Driver,18335.73,12164.22,6171.51,9083,136,0.87,0.28,0.01,0
198,Bilaspur,Auto Driver,10190.42,6188.29,4002.13,18531,70,0.76,0.13,0.14,0
199,Bhilai,Freelancer,14188.59,10089.75,4098.84,10964,143,0.93,0.41,0.02,1
200,Raipur,Delivery Partner,19868.4,23555.87,-3687.47,13824,85,0.85,0.41,0.23,1
201,Bilaspur,Street Vendor,23996.91,16201.28,7795.63,7978,51,0.84,0.46,0.17,1
202,Bhilai,Freelancer,29922.42,21986.07,7936.34,6583,108,0.82,0.24,0.12,0
203,Raipur,Freelancer,12196.38,10947.82,1248.56,14258,171,0.93,0.47,0.26,1
204,Bilaspur,Auto Driver,27856.17,20408.49,7447.68,17997,185,0.9,0.32,0.17,0
205,Bhilai,Auto Driver,29185.89,30259.01,-1073.12,15057,78,0.87,0.21,0.03,1
206,Durg,Shop Owner,26129.66,24178.88,1950.78,3724,146,0.8,0.44,0.09,1
207,Durg,Delivery Partner,17401.47,14970.14,2431.33,10553,193,0.92,0.33,0.22,0
208,Durg,Auto Driver,13633.24,14724.48,-1091.24,13754,59,0.9,0.14,0.24,1
209,Raipur,Street Vendor,21985.63,20502.39,1483.24,16933,139,0.94,0.24,0.25,0
210,Bilaspur,Shop Owner,14268.97,9836.07,4432.9,7110,119,0.95,0.25,0.3,1
211,Bilaspur,Freelancer,17230.64,16469.51,761.14,3828,103,0.88,0.39,0.0,0
212,Bhilai,Freelancer,8627.57,9702.2,-1074.63,5292,63,0.89,0.26,0.03,1
213,Korba,Freelancer,13399.95,14512.05,-1112.11,13154,98,0.85,0.34,0.04,1
214,Bhilai,Freelancer,6098.51,6678.34,-579.84,12258,143,0.73,0.49,0.13,1
215,Bilaspur,Freelancer,29601.06,35491.93,-5890.86,3019,167,0.86,0.34,0.13,1
216,Bilaspur,Shop Owner,36099.62,37844.38,-1744.76,18230,186,0.98,0.37,0.06,1
217,Korba,Auto Driver,12711.23,7811.24,4899.99,8397,167,0.71,0.23,0.16,0
218,Bilaspur,Street Vendor,19578.25,16174.54,3403.71,9999,98,0.77,0.44,0.28,1
219,Bilaspur,Freelancer,30400.26,34827.57,-4427.31,4839,106,0.6,0.12,0.02,1
220,Durg,Freelancer,14977.53,13228.7,1748.83,17261,157,0.62,0.26,0.01,0
221,Durg,Freelancer,14960.79,15793.19,-832.4,11833,119,0.63,0.2,0.15,1
222,Durg,Freelancer,10671.29,9811.75,859.55,6000,56,0.63,0.46,0.07,1
223,Bhilai,Shop Owner,38461.51,24282.86,14178.66,4539,169,0.7,0.32,0.22,0
224,Raipur,Delivery Partner,28711.01,25218.59,3492.42,12123,166,0.69,0.18,0.08,0
225,Bhilai,Delivery Partner,19757.98,20423.6,-665.62,15992,135,0.82,0.15,0.18,1
226,Korba,Freelancer,26612.94,29539.97,-2927.03,5137,123,0.78,0.17,0.12,1
227,Korba,Freelancer,11211.91,9121.83,2090.08,18994,112,0.8,0.41,0.1,1
228,Durg,Shop Owner,19438.98,17721.19,1717.79,8519,128,0.95,0.23,0.26,1
229,Bilaspur,Auto Driver,18806.62,11590.53,7216.09,18280,180,0.96,0.49,0.16,1
230,Bilaspur,Street Vendor,28549.96,23937.11,4612.85,7546,196,0.78,0.25,0.06,0
231,Bhilai,Street Vendor,27460.43,25992.83,1467.59,9239,104,0.86,0.21,0.06,0
232,Raipur,Freelancer,18293.31,14452.76,3840.55,8530,158,0.96,0.38,0.08,0
233,Durg,Delivery Partner,26731.61,27789.67,-1058.07,19071,156,0.73,0.11,0.24,1
234,Bhilai,Auto Driver,28301.68,25222.89,3078.79,19053,62,0.73,0.23,0.3,1
235,Korba,Auto Driver,17371.35,11392.45,5978.9,5864,197,0.96,0.15,0.02,0
236,Bilaspur,Freelancer,20835.08,23979.62,-3144.53,2645,109,0.73,0.23,0.14,1
237,Bhilai,Delivery Partner,26812.33,29411.78,-2599.44,14763,79,0.67,0.24,0.21,1
238,Korba,Freelancer,31880.59,22786.85,9093.74,3098,72,0.85,0.46,0.11,1
239,Bilaspur,Delivery Partner,20448.51,12650.87,7797.64,3089,96,0.67,0.44,0.26,1
240,Durg,Delivery Partner,26232.22,21096.69,5135.53,2441,96,0.72,0.13,0.06,0
241,Durg,Delivery Partner,33354.35,37447.69,-4093.34,2392,148,0.62,0.36,0.27,1
242,Durg,Auto Driver,30421.64,20278.87,10142.77,17223,95,0.78,0.37,0.26,1
243,Raipur,Auto Driver,13420.29,8197.11,5223.17,18807,137,0.61,0.42,0.29,1
244,Bilaspur,Delivery Partner,27276.65,30104.6,-2827.95,12412,120,0.85,0.43,0.17,1
245,Raipur,Delivery Partner,24994.62,18272.72,6721.91,3460,110,0.63,0.35,0.08,0
246,Bilaspur,Freelancer,22360.9,14412.6,7948.3,13240,127,0.9,0.21,0.01,0
247,Bilaspur,Auto Driver,24412.95,27718.02,-3305.06,7374,65,0.7,0.37,0.24,1
248,Raipur,Shop Owner,11888.9,10852.99,1035.91,19732,97,0.93,0.5,0.18,1
249,Bilaspur,Freelancer,7132.75,7996.75,-864.0,19111,114,0.61,0.31,0.21,1
250,Korba,Auto Driver,15512.27,17614.4,-2102.13,18789,70,0.85,0.41,0.18,1
251,Bhilai,Auto Driver,19898.61,16529.91,3368.7,18300,116,0.86,0.3,0.29,1
252,Durg,Auto Driver,14813.64,12505.42,2308.21,4261,194,0.62,0.49,0.18,1
253,Raipur,Shop Owner,27041.21,23898.55,3142.65,10333,84,0.78,0.29,0.14,0
254,Korba,Shop Owner,26243.45,19195.54,7047.91,6650,197,0.64,0.1,0.1,0
255,Korba,Auto Driver,25332.67,15874.28,9458.39,7463,86,0.71,0.19,0.25,0
256,Korba,Delivery Partner,24331.41,21804.06,2527.35,17114,196,0.78,0.3,0.28,1
257,Bhilai,Freelancer,18501.75,21176.49,-2674.74,11324,61,0.87,0.27,0.09,1
258,Raipur,Freelancer,14513.52,8726.43,5787.09,5052,133,0.87,0.39,0.03,0
259,Bhilai,Shop Owner,25635.78,23834.87,1800.91,5808,125,0.63,0.14,0.11,0
260,Bilaspur,Auto Driver,36538.53,35048.32,1490.21,11101,100,0.97,0.36,0.18,0
261,Raipur,Freelancer,32252.83,29607.94,2644.9,2386,193,1.0,0.36,0.25,0
262,Raipur,Freelancer,20611.16,17305.57,3305.59,7476,111,0.82,0.28,0.1,0
263,Durg,Auto Driver,17537.77,17604.06,-66.29,4120,171,0.84,0.38,0.07,1
264,Bilaspur,Freelancer,25160.54,16588.96,8571.59,17434,97,0.6,0.33,0.11,0
265,Durg,Shop Owner,28589.79,19995.04,8594.75,18390,105,0.9,0.31,0.28,1
266,Korba,Street Vendor,30370.49,24428.88,5941.61,15790,175,0.84,0.36,0.03,0
267,Durg,Auto Driver,23595.62,20584.84,3010.78,17747,162,0.66,0.19,0.15,0
268,Korba,Street Vendor,9692.73,5995.67,3697.06,8591,100,0.61,0.25,0.23,0
269,Bilaspur,Delivery Partner,11527.01,9087.66,2439.34,2785,162,0.64,0.15,0.18,0
270,Durg,Auto Driver,12037.91,8336.1,3701.81,4352,190,0.82,0.24,0.23,0
271,Bilaspur,Auto Driver,25801.91,18223.95,7577.95,2340,176,0.71,0.43,0.29,1
272,Raipur,Street Vendor,21166.52,18339.23,2827.29,15283,66,0.89,0.33,0.09,0
273,Korba,Street Vendor,26187.51,16332.52,9855.0,4660,167,0.69,0.18,0.29,1
274,Bhilai,Freelancer,7165.87,7506.36,-340.49,18859,54,0.92,0.28,0.08,1
275,Bhilai,Freelancer,21632.3,25711.99,-4079.69,7867,101,0.95,0.16,0.18,1
276,Bilaspur,Shop Owner,15860.72,13715.31,2145.41,14991,131,0.78,0.31,0.18,0
277,Durg,Auto Driver,24608.83,27374.3,-2765.47,10016,130,0.94,0.18,0.27,1
278,Bhilai,Street Vendor,11601.12,8497.21,3103.91,3137,71,0.88,0.11,0.22,0
279,Durg,Street Vendor,25084.3,20068.56,5015.75,17906,79,0.98,0.36,0.0,0
280,Korba,Shop Owner,10945.79,6582.69,4363.09,14866,114,0.74,0.5,0.19,1
281,Raipur,Street Vendor,23449.51,25454.68,-2005.17,10448,84,0.85,0.47,0.03,1
282,Korba,Shop Owner,31760.28,19523.01,12237.26,3098,148,0.82,0.21,0.19,0
283,Bilaspur,Street Vendor,20343.64,18584.85,1758.79,7185,194,0.8,0.13,0.24,0
284,Korba,Shop Owner,23394.63,17000.12,6394.51,4951,169,0.76,0.38,0.27,1
285,Raipur,Street Vendor,8507.61,5276.43,3231.18,15364,68,0.86,0.32,0.04,0
286,Korba,Freelancer,24463.82,24029.7,434.12,14145,63,0.79,0.43,0.07,1
