user_id,city,job_type,income,expenses,savings,income_volatility,digital_ratio,txn_frequency,late_night_ratio,loan_amount,default
30,Raipur,Auto Driver,8937.81,6805.01,1956.9,0.13,0.6,129,0.17,29000.0,0
31,Durg,Street Vendor,15630.07,10456.11,5497.73,0.32,0.47,221,0.02,36000.0,0
32,Raipur,Auto Driver,13526.25,8631.18,3670.17,0.26,0.55,124,0.07,64000.0,0
33,Raipur,Shop Owner,35105.27,26604.24,3980.47,0.13,0.82,282,0.09,67000.0,1
34,Korba,Delivery Partner,18066.53,10988.2,8437.85,0.38,0.8,190,0.46,67000.0,0
35,Korba,Auto Driver,20468.62,14978.41,4305.1,0.17,0.51,137,0.19,26000.0,0
36,Bilaspur,Street Vendor,14172.8,10185.03,3479.61,0.31,0.46,140,0.09,30000.0,0
37,Bhilai,Freelancer,38237.46,21222.81,21717.97,0.54,0.9,42,0.36,178000.0,0
38,Raipur,Delivery Partner,23192.52,14463.17,5705.51,0.32,0.72,130,0.43,63000.0,0
39,Durg,Street Vendor,15950.08,10185.52,3029.15,0.35,0.65,293,0.06,57000.0,1
40,Bhilai,Auto Driver,17150.78,9541.96,7545.42,0.26,0.63,122,0.11,40000.0,0
41,Raipur,Delivery Partner,22430.1,15702.29,4509.54,0.46,0.92,154,0.38,77000.0,0
42,Bhilai,Street Vendor,22594.55,15049.9,8809.76,0.35,0.4,157,0.03,26000.0,1
43,Raipur,Shop Owner,43216.19,27766.78,18315.09,0.25,0.61,393,0.09,88000.0,0
44,Korba,Delivery Partner,26147.44,8060.31,8832.28,0.44,0.86,156,0.32,122000.0,0
45,Raipur,Auto Driver,20363.57,9461.46,14014.24,0.18,0.75,181,0.14,33000.0,0
46,Durg,Street Vendor,18943.81,14006.93,5359.41,0.35,0.34,73,0.15,33000.0,1
47,Bhilai,Delivery Partner,20847.35,6254.21,6642.42,0.23,0.85,128,0.22,62000.0,0
48,Durg,Auto Driver,17917.4,11885.94,7778.42,0.32,0.52,129,0.09,76000.0,0
49,Durg,Freelancer,24631.22,12263.04,5465.9,0.49,0.84,46,0.67,45000.0,0
50,Raipur,Street Vendor,14270.72,12857.26,748.87,0.27,0.66,223,0.04,64000.0,0
51,Korba,Auto Driver,15564.26,9629.43,3736.36,0.45,0.62,123,0.05,21000.0,1
52,Bilaspur,Street Vendor,23908.84,16831.36,6857.79,0.17,0.41,160,0.1,74000.0,0
53,Korba,Freelancer,29505.83,12617.23,20514.35,0.41,0.95,15,0.55,66000.0,0
54,Bilaspur,Delivery Partner,26566.65,15159.75,7016.98,0.5,0.85,135,0.28,44000.0,1
55,Durg,Shop Owner,16928.79,14036.35,2126.59,0.18,0.79,212,0.09,35000.0,1
56,Korba,Street Vendor,18051.87,10388.73,3946.05,0.31,0.65,120,0.02,74000.0,1
57,Raipur,Delivery Partner,25885.94,18282.46,6928.14,0.33,0.88,198,0.33,29000.0,0
58,Raipur,Auto Driver,23753.82,16261.43,8073.76,0.28,0.63,129,0.15,117000.0,0
59,Raipur,Street Vendor,12947.14,10768.66,1799.3,0.18,0.34,295,0.02,50000.0,1
60,Bhilai,Shop Owner,59147.94,46644.01,8261.08,0.13,0.71,204,0.01,132000.0,0
61,Bhilai,Delivery Partner,29290.96,15968.84,9022.89,0.62,0.95,125,0.54,74000.0,0
62,Raipur,Freelancer,23984.66,7195.4,19389.07,0.54,0.98,32,0.52,63000.0,1
63,Bilaspur,Shop Owner,44082.03,32003.21,13680.49,0.05,0.77,454,0.01,48000.0,0
64,Bhilai,Street Vendor,10255.88,6568.58,3715.6,0.17,0.48,244,0.12,13000.0,0
65,Raipur,Street Vendor,15804.22,11740.59,3773.29,0.43,0.58,93,0.13,37000.0,0
66,Durg,Delivery Partner,20145.8,12744.69,4440.87,0.47,0.95,173,0.57,40000.0,0
67,Raipur,Delivery Partner,32792.5,20093.55,14819.04,0.4,0.84,142,0.58,133000.0,1
68,Bilaspur,Shop Owner,35158.51,26431.57,8111.31,0.09,0.74,239,0.0,67000.0,1
69,Raipur,Delivery Partner,24090.53,13767.62,12139.87,0.46,0.94,154,0.59,56000.0,1
70,Korba,Freelancer,21134.25,13874.28,4221.78,0.59,0.87,39,0.52,102000.0,0
71,Bilaspur,Delivery Partner,19165.0,7402.58,11355.31,0.38,0.81,208,0.38,84000.0,0
72,Raipur,Auto Driver,24001.03,14459.77,9676.06,0.3,0.73,143,0.2,103000.0,0
73,Raipur,Freelancer,34004.29,11064.61,19753.58,0.46,0.85,47,0.4,147000.0,1
74,Bilaspur,Shop Owner,19845.89,14080.76,2444.97,0.07,0.71,206,0.01,71000.0,1
75,Bilaspur,Street Vendor,12173.16,7783.14,3542.93,0.05,0.43,316,0.13,38000.0,0
76,Bilaspur,Freelancer,16009.19,8022.03,7057.73,0.6,0.89,10,0.51,69000.0,1
77,Bilaspur,Auto Driver,11746.5,7836.54,3717.23,0.32,0.77,90,0.08,28000.0,0
78,Raipur,Delivery Partner,19327.08,15003.69,3059.96,0.48,0.83,131,0.43,62000.0,1
79,Bhilai,Street Vendor,12155.57,8374.56,4413.7,0.1,0.33,307,0.09,54000.0,1
80,Raipur,Delivery Partner,24238.93,14897.38,8683.48,0.37,0.87,101,0.38,34000.0,1
81,Bilaspur,Shop Owner,18767.18,17261.99,1874.07,0.05,0.8,379,0.07,21000.0,0
82,Durg,Freelancer,32320.14,10951.47,19967.95,0.53,0.83,9,0.57,150000.0,0
83,Bhilai,Delivery Partner,12094.76,6969.64,4916.14,0.18,0.8,160,0.31,47000.0,0
84,Raipur,Street Vendor,7018.54,6071.11,1084.68,0.1,0.47,178,0.06,23000.0,0
85,Bhilai,Auto Driver,25007.29,16998.65,9064.21,0.23,0.41,118,0.09,39000.0,0
86,Bhilai,Freelancer,19394.41,9517.96,8265.32,0.67,0.82,25,0.77,97000.0,1
87,Bilaspur,Delivery Partner,23099.96,14406.28,3813.5,0.37,0.94,120,0.3,52000.0,1
88,Durg,Auto Driver,21129.67,11330.16,10809.25,0.27,0.52,97,0.22,26000.0,0
89,Bilaspur,Freelancer,47009.24,24528.94,23654.67,0.72,0.98,14,0.55,128000.0,0
90,Bhilai,Freelancer,14667.0,7363.34,8967.52,0.71,0.83,25,0.76,18000.0,1
91,Raipur,Shop Owner,24778.97,23051.78,1356.55,0.05,0.58,315,0.03,75000.0,0
92,Bilaspur,Shop Owner,43899.88,32022.61,11438.5,0.14,0.56,74,0.07,117000.0,1
93,Bilaspur,Shop Owner,12453.78,11687.54,709.89,0.16,0.7,322,0.08,48000.0,0
94,Durg,Delivery Partner,18006.93,10489.1,5956.72,0.33,0.8,129,0.32,53000.0,0
95,Bilaspur,Shop Owner,45735.03,35820.02,9036.64,0.05,0.56,197,0.09,172000.0,0
96,Bhilai,Freelancer,20946.03,6946.02,11092.61,0.61,0.98,44,0.76,46000.0,1
97,Durg,Delivery Partner,33834.86,16568.06,9681.91,0.49,0.79,121,0.33,56000.0,0
98,Bhilai,Freelancer,26407.36,10745.7,13680.95,0.54,0.84,23,0.43,97000.0,1
99,Raipur,Street Vendor,6497.94,4605.06,1025.29,0.26,0.62,152,0.09,27000.0,0
100,Raipur,Auto Driver,18094.32,14168.32,3846.38,0.52,0.53,195,0.11,48000.0,1
101,Raipur,Street Vendor,13444.5,9584.2,4187.95,0.41,0.44,237,0.04,14000.0,1
102,Durg,Auto Driver,17832.0,8935.33,4815.43,0.3,0.56,84,0.11,43000.0,0
103,Bhilai,Delivery Partner,24055.11,15405.17,5442.17,0.41,0.87,189,0.56,29000.0,0
104,Durg,Delivery Partner,22331.91,13688.45,5482.65,0.39,0.88,63,0.53,91000.0,1
105,Korba,Shop Owner,20404.07,18216.38,1406.69,0.05,0.82,289,0.01,25000.0,0
106,Raipur,Auto Driver,22094.3,14847.68,8117.42,0.43,0.72,109,0.06,34000.0,0
107,Bhilai,Street Vendor,20919.11,13016.28,5793.28,0.38,0.54,64,0.03,62000.0,1
108,Bilaspur,Street Vendor,13598.44,9417.26,3310.48,0.25,0.53,128,0.03,34000.0,0
109,Raipur,Shop Owner,27004.0,23874.33,4027.08,0.08,0.55,371,0.08,116000.0,0
110,Raipur,Freelancer,5196.71,3214.14,2025.8,0.5,0.86,23,0.31,22000.0,0
111,Raipur,Street Vendor,18366.86,12867.5,3540.27,0.24,0.38,261,0.12,37000.0,1
112,Raipur,Street Vendor,10984.96,6784.64,2656.03,0.25,0.34,125,0.12,47000.0,1
113,Korba,Freelancer,5000.0,1796.91,1329.25,0.31,0.94,24,0.33,7000.0,0
114,Bilaspur,Shop Owner,47888.16,26862.11,10759.93,0.05,0.6,283,0.03,153000.0,1
115,Durg,Freelancer,30415.94,13702.7,15840.84,0.45,0.9,5,0.6,61000.0,1
116,Bilaspur,Freelancer,20483.67,10421.8,13077.05,0.55,0.86,37,0.39,102000.0,0
117,Bilaspur,Delivery Partner,24277.0,18095.74,6273.85,0.47,0.73,199,0.32,103000.0,0
118,Raipur,Freelancer,5616.19,2848.64,2050.39,0.64,0.94,25,0.47,10000.0,0
119,Bilaspur,Auto Driver,20527.22,16037.56,5628.51,0.2,0.5,98,0.24,44000.0,0
120,Durg,Delivery Partner,28015.89,16676.88,6534.68,0.34,0.96,130,0.4,106000.0,0
121,Bilaspur,Shop Owner,33073.85,27419.98,4979.55,0.15,0.78,212,0.0,150000.0,0
122,Bilaspur,Street Vendor,11923.05,7809.28,4630.5,0.12,0.5,169,0.12,39000.0,1
123,Bhilai,Street Vendor,12317.42,10981.89,1521.01,0.16,0.56,142,0.12,43000.0,1
124,Raipur,Freelancer,23699.41,13821.28,12203.63,0.63,0.8,12,0.4,39000.0,1
125,Raipur,Shop Owner,6228.98,4318.34,824.93,0.21,0.74,257,0.09,30000.0,0
126,Bhilai,Auto Driver,11226.0,6840.68,5599.72,0.34,0.74,96,0.09,48000.0,0
127,Bilaspur,Shop Owner,35871.56,30659.1,3439.42,0.14,0.68,204,0.0,81000.0,1
128,Bilaspur,Auto Driver,23353.66,14074.02,3982.44,0.13,0.77,133,0.1,31000.0,0
129,Raipur,Delivery Partner,18222.01,8591.13,12499.91,0.4,0.9,188,0.59,33000.0,0
130,Durg,Shop Owner,28113.43,22481.11,6748.83,0.17,0.58,379,0.03,106000.0,0
131,Bhilai,Delivery Partner,17076.23,11596.43,3091.11,0.47,0.96,111,0.23,53000.0,1
132,Raipur,Auto Driver,26530.58,14389.22,7526.9,0.4,0.8,165,0.06,38000.0,1
133,Raipur,Street Vendor,15384.15,9584.75,6107.25,0.18,0.42,184,0.1,45000.0,0
134,Bhilai,Delivery Partner,12806.17,8147.36,5825.37,0.46,0.97,228,0.22,45000.0,1
135,Korba,Auto Driver,12470.72,7937.86,4647.35,0.42,0.76,123,0.13,42000.0,0
136,Bhilai,Auto Driver,15602.44,11470.0,2731.98,0.17,0.43,74,0.21,62000.0,0
137,Durg,Delivery Partner,20632.06,7090.64,12777.96,0.41,0.92,80,0.56,57000.0,0
138,Bilaspur,Auto Driver,17728.15,12296.97,2466.95,0.32,0.74,111,0.23,63000.0,1
139,Bhilai,Street Vendor,21408.52,15827.99,3436.82,0.33,0.56,264,0.09,60000.0,1
140,Korba,Delivery Partner,22830.03,13682.13,11425.35,0.34,0.92,139,0.29,87000.0,0
141,Korba,Street Vendor,11806.89,8351.95,2273.44,0.31,0.59,209,0.04,57000.0,1
142,Raipur,Auto Driver,17658.64,6405.3,8088.64,0.2,0.43,162,0.24,37000.0,0
143,Bhilai,Freelancer,39843.22,22017.81,15456.22,0.68,0.96,18,0.52,165000.0,1
144,Bhilai,Shop Owner,40110.98,30343.75,6627.89,0.08,0.73,417,0.08,163000.0,0
145,Raipur,Shop Owner,35795.3,25569.46,5172.06,0.17,0.8,189,0.01,108000.0,0
146,Raipur,Shop Owner,24265.16,14677.77,7769.0,0.22,0.63,227,0.1,74000.0,0
147,Durg,Street Vendor,25141.39,18709.98,2729.11,0.06,0.37,270,0.02,34000.0,0
148,Durg,Delivery Partner,20064.25,11635.4,6080.66,0.33,0.72,157,0.45,55000.0,1
149,Raipur,Freelancer,19918.55,10161.02,6213.19,0.37,0.9,8,0.67,95000.0,0
150,Raipur,Street Vendor,13162.82,6981.45,5967.34,0.24,0.51,259,0.08,53000.0,0
151,Korba,Auto Driver,14452.25,8677.42,3179.41,0.15,0.78,94,0.1,32000.0,0
152,Raipur,Auto Driver,17148.63,10517.02,6843.49,0.51,0.53,80,0.15,29000.0,0
153,Raipur,Delivery Partner,23654.45,11018.94,9732.5,0.51,0.82,138,0.38,41000.0,1
154,Bhilai,Shop Owner,23256.35,17998.98,4462.37,0.14,0.6,250,0.07,35000.0,0
155,Korba,Delivery Partner,7364.7,4626.91,1997.98,0.53,0.81,201,0.29,35000.0,0
156,Raipur,Auto Driver,20895.28,12271.58,4563.83,0.31,0.52,98,0.1,77000.0,1
157,Durg,Freelancer,34557.25,17326.26,8922.61,0.73,0.91,37,0.65,143000.0,1
158,Bilaspur,Shop Owner,44112.09,32552.57,6391.6,0.4,0.68,311,0.03,69000.0,1
159,Raipur,Delivery Partner,17088.54,11991.06,4969.38,0.47,0.86,142,0.24,64000.0,1
160,Bilaspur,Delivery Partner,18793.83,12756.88,3968.63,0.46,0.77,267,0.25,79000.0,0
161,Bhilai,Shop Owner,33142.69,24489.18,8278.97,0.2,0.69,272,0.07,43000.0,0
162,Durg,Street Vendor,13299.92,8324.1,2953.5,0.35,0.32,201,0.08,48000.0,0
163,Durg,Shop Owner,34262.65,23507.76,11399.86,0.24,0.55,371,0.02,137000.0,0
164,Durg,Street Vendor,15322.61,10717.34,2864.81,0.15,0.47,85,0.02,29000.0,1
165,Raipur,Delivery Partner,18310.83,12486.78,6957.82,0.38,0.88,224,0.22,32000.0,0
166,Bilaspur,Delivery Partner,20555.69,13237.41,6813.72,0.51,0.86,174,0.33,62000.0,0
167,Bhilai,Freelancer,14891.22,6984.33,5448.01,0.67,0.88,13,0.72,52000.0,0
168,Raipur,Street Vendor,22598.28,15974.0,8276.39,0.42,0.39,271,0.06,47000.0,1
169,Raipur,Freelancer,26136.27,11545.32,7594.13,0.76,0.84,26,0.52,96000.0,1
170,Durg,Street Vendor,16467.26,9593.46,8715.74,0.29,0.68,234,0.15,71000.0,1
171,Durg,Street Vendor,12376.14,9847.17,1131.78,0.22,0.7,111,0.07,61000.0,0
172,Raipur,Auto Driver,24181.15,13484.69,9884.29,0.35,0.73,132,0.22,93000.0,0
173,Durg,Auto Driver,14119.25,11565.57,2846.33,0.4,0.54,134,0.11,62000.0,1
174,Raipur,Auto Driver,20629.83,9275.82,12266.63,0.33,0.51,80,0.12,39000.0,0
175,Durg,Delivery Partner,23230.53,16531.69,6893.74,0.43,0.98,168,0.23,43000.0,0
176,Raipur,Auto Driver,18671.84,13411.41,2238.65,0.35,0.73,38,0.24,90000.0,1
177,Durg,Street Vendor,18172.07,14176.31,2738.62,0.21,0.65,81,0.12,70000.0,1
178,Bhilai,Auto Driver,16238.07,10857.91,3651.69,0.41,0.78,191,0.19,24000.0,0
179,Korba,Delivery Partner,17881.06,9832.09,3717.61,0.39,0.89,197,0.43,48000.0,0
180,Raipur,Auto Driver,12039.1,6231.75,6302.18,0.41,0.79,163,0.22,39000.0,0
181,Bhilai,Street Vendor,15115.95,4534.78,6461.05,0.18,0.7,220,0.08,29000.0,0
182,Raipur,Shop Owner,24207.04,18603.42,7082.44,0.29,0.78,442,0.0,56000.0,0
183,Korba,Street Vendor,17831.12,12366.87,5427.8,0.2,0.68,245,0.11,55000.0,0
184,Bilaspur,Street Vendor,9570.75,6015.66,3442.35,0.33,0.66,133,0.12,33000.0,0
185,Raipur,Freelancer,29708.88,16518.92,6394.48,0.66,0.86,20,0.8,38000.0,1
186,Durg,Delivery Partner,14661.73,7516.28,4180.16,0.47,0.73,101,0.58,26000.0,0
187,Bilaspur,Auto Driver,13837.56,7546.8,4410.74,0.12,0.51,85,0.06,41000.0,1
188,Durg,Delivery Partner,27001.98,14265.78,8239.08,0.23,0.79,129,0.42,42000.0,1
189,Durg,Shop Owner,46439.72,28137.92,12324.9,0.06,0.66,259,0.0,68000.0,0
190,Raipur,Auto Driver,21114.24,13638.11,4925.67,0.24,0.43,133,0.18,51000.0,0
191,Raipur,Auto Driver,18169.21,10443.04,8007.16,0.21,0.44,144,0.09,46000.0,0
192,Bilaspur,Shop Owner,40363.51,33382.15,6940.12,0.16,0.75,211,0.1,114000.0,0
193,Korba,Shop Owner,47015.38,33862.33,5348.57,0.19,0.53,287,0.02,105000.0,0
194,Durg,Shop Owner,38757.96,30398.75,4719.76,0.18,0.63,136,0.0,97000.0,1
195,Bhilai,Delivery Partner,14118.01,9419.13,5093.43,0.44,0.96,118,0.27,38000.0,0
196,Bhilai,Street Vendor,16275.08,9101.09,6434.58,0.58,0.52,278,0.14,63000.0,1
197,Bilaspur,Freelancer,18812.72,6941.54,8169.2,0.59,0.95,17,0.35,72000.0,1
198,Bilaspur,Auto Driver,14794.23,7520.27,8539.65,0.32,0.71,108,0.22,24000.0,0
199,Bilaspur,Street Vendor,15803.13,15012.97,671.03,0.33,0.48,124,0.15,34000.0,1
200,Bilaspur,Street Vendor,10304.64,5748.31,4089.52,0.3,0.58,241,0.05,29000.0,0
201,Durg,Auto Driver,19139.66,14729.61,4744.48,0.41,0.56,115,0.18,47000.0,0
202,Raipur,Delivery Partner,33951.47,17387.28,14038.41,0.4,0.86,127,0.4,46000.0,0
203,Raipur,Freelancer,20372.79,11920.34,4497.34,0.58,0.93,44,0.34,91000.0,1
204,Bilaspur,Auto Driver,20514.79,11853.83,4752.07,0.58,0.43,140,0.12,98000.0,1
205,Durg,Street Vendor,15321.03,8861.69,7370.84,0.43,0.65,225,0.08,61000.0,1
206,Raipur,Delivery Partner,18392.43,8909.37,10525.4,0.39,0.88,155,0.21,91000.0,0
207,Raipur,Street Vendor,16857.05,9311.37,3139.34,0.2,0.56,14,0.04,56000.0,0
208,Durg,Shop Owner,46532.31,29585.22,15295.06,0.07,0.73,302,0.06,199000.0,1
209,Raipur,Freelancer,26530.82,12573.97,10704.18,0.46,0.91,31,0.6,42000.0,0
210,Raipur,Auto Driver,18699.43,12721.93,2980.11,0.23,0.74,109,0.22,62000.0,1
211,Durg,Delivery Partner,27053.75,18835.04,6944.87,0.45,0.78,110,0.3,42000.0,1
212,Durg,Auto Driver,18942.08,8474.08,13045.69,0.3,0.52,162,0.23,79000.0,0
213,Durg,Delivery Partner,18508.72,12596.51,4886.24,0.43,0.86,140,0.22,29000.0,1
214,Raipur,Delivery Partner,20484.82,13897.68,6262.48,0.52,0.89,95,0.34,63000.0,0
215,Bilaspur,Street Vendor,15580.37,9143.1,7879.15,0.35,0.49,220,0.1,67000.0,0
216,Raipur,Delivery Partner,27543.52,12535.51,8897.48,0.54,0.97,187,0.52,117000.0,0
217,Bhilai,Street Vendor,20615.22,16720.14,3087.68,0.24,0.42,129,0.07,52000.0,0
218,Bilaspur,Delivery Partner,17395.5,11178.11,3835.16,0.4,0.79,141,0.37,37000.0,0
219,Durg,Street Vendor,15637.29,11539.01,5299.48,0.15,0.55,167,0.1,61000.0,1
220,Bilaspur,Street Vendor,9804.51,6780.18,1268.88,0.4,0.64,187,0.07,20000.0,1
221,Durg,Delivery Partner,26935.35,18680.48,9616.18,0.37,0.7,176,0.59,65000.0,0
222,Durg,Street Vendor,20231.61,14061.22,4729.44,0.21,0.52,273,0.09,67000.0,1
223,Raipur,Shop Owner,30505.86,22043.41,10845.83,0.05,0.62,311,0.02,35000.0,0
224,Bhilai,Street Vendor,17453.95,12898.43,3738.98,0.07,0.7,294,0.01,44000.0,0
225,Raipur,Shop Owner,21956.05,14357.2,7386.59,0.05,0.59,233,0.03,93000.0,0
226,Raipur,Delivery Partner,9678.64,5932.94,3416.62,0.42,0.75,239,0.52,18000.0,0
227,Korba,Delivery Partner,15996.43,9443.85,3251.46,0.44,0.9,129,0.4,62000.0,0
228,Bhilai,Auto Driver,16463.56,7595.01,11124.15,0.39,0.62,129,0.11,67000.0,0
229,Bilaspur,Freelancer,15021.36,8173.61,6599.82,0.79,0.86,27,0.63,19000.0,1
230,Durg,Street Vendor,9682.03,8730.65,624.84,0.28,0.44,238,0.12,13000.0,1
231,Bilaspur,Shop Owner,44901.4,36700.35,5727.54,0.05,0.62,451,0.07,174000.0,1
232,Durg,Delivery Partner,23001.43,13269.34,4173.63,0.54,0.84,93,0.41,85000.0,1
233,Durg,Street Vendor,17584.56,14749.05,1692.36,0.23,0.64,193,0.13,81000.0,1
234,Bhilai,Street Vendor,13240.09,8095.7,4030.93,0.28,0.38,191,0.03,37000.0,1
235,Raipur,Delivery Partner,24881.17,12944.27,7569.6,0.38,0.74,185,0.43,102000.0,1
236,Bilaspur,Auto Driver,17904.52,12420.4,3184.77,0.4,0.47,97,0.1,73000.0,1
237,Raipur,Auto Driver,15417.92,10646.08,4556.92,0.36,0.48,151,0.15,49000.0,0
238,Raipur,Street Vendor,17343.15,12416.21,4482.64,0.26,0.36,122,0.07,28000.0,1
239,Durg,Street Vendor,16686.88,10963.46,6878.01,0.2,0.46,107,0.13,77000.0,0
240,Raipur,Delivery Partner,22434.9,11810.88,9214.33,0.23,0.93,128,0.25,68000.0,0
241,Korba,Delivery Partner,20224.84,10682.05,8561.04,0.25,0.91,151,0.34,25000.0,1
242,Korba,Street Vendor,15525.51,11740.55,2378.72,0.23,0.41,212,0.06,37000.0,1
243,Korba,Street Vendor,15052.96,11395.68,4424.73,0.06,0.31,170,0.03,26000.0,1
244,Bhilai,Street Vendor,21447.43,16041.02,6889.45,0.4,0.37,161,0.03,95000.0,1
245,Raipur,Shop Owner,29505.13,24981.21,3786.52,0.16,0.65,290,0.0,62000.0,1
246,Korba,Delivery Partner,15687.42,11227.25,2079.2,0.65,0.82,87,0.51,65000.0,1
247,Bhilai,Freelancer,21665.31,11416.84,6610.55,0.48,0.91,29,0.43,103000.0,0
248,Korba,Delivery Partner,33168.61,17779.93,6304.46,0.38,0.73,145,0.58,160000.0,1
249,Korba,Street Vendor,18452.64,13665.24,2726.81,0.34,0.49,169,0.08,40000.0,1
250,Bilaspur,Delivery Partner,25337.31,12116.83,5444.62,0.37,0.88,179,0.33,93000.0,1
251,Raipur,Street Vendor,14564.93,12311.91,2209.76,0.16,0.34,91,0.13,45000.0,1
252,Bhilai,Delivery Partner,21855.27,14396.23,8546.79,0.47,0.83,104,0.3,107000.0,0
253,Bilaspur,Street Vendor,16807.55,12548.16,5031.26,0.41,0.53,177,0.06,68000.0,1
254,Bhilai,Delivery Partner,22975.98,14433.94,5420.44,0.48,0.95,200,0.4,27000.0,0
255,Raipur,Delivery Partner,24760.68,13233.14,10329.88,0.38,0.93,174,0.31,112000.0,1
256,Durg,Shop Owner,36898.2,29081.75,8063.66,0.24,0.78,335,0.09,169000.0,0
257,Korba,Auto Driver,18285.65,11734.65,6913.24,0.29,0.4,129,0.11,37000.0,1
258,Durg,Street Vendor,19771.63,12630.56,3088.44,0.18,0.57,277,0.02,84000.0,1
259,Durg,Freelancer,19082.03,6336.22,7701.5,0.62,0.81,46,0.7,95000.0,0
260,Raipur,Freelancer,24379.45,8577.52,11717.36,0.61,0.89,18,0.51,69000.0,0
261,Durg,Street Vendor,16811.89,13748.27,1968.82,0.43,0.36,239,0.14,64000.0,0
262,Korba,Street Vendor,18267.49,10440.66,8624.4,0.41,0.65,276,0.05,68000.0,1
263,Raipur,Freelancer,30810.68,19935.17,5835.82,0.58,0.96,18,0.46,61000.0,1
264,Durg,Street Vendor,8280.45,3314.6,6095.11,0.34,0.37,216,0.08,21000.0,0
265,Bilaspur,Auto Driver,11160.44,6546.12,5414.86,0.34,0.51,102,0.19,20000.0,0
266,Bilaspur,Auto Driver,15922.62,11469.38,3855.69,0.26,0.48,110,0.1,33000.0,0
267,Durg,Freelancer,28541.77,15651.47,14697.9,0.62,0.83,20,0.33,75000.0,0
268,Bilaspur,Delivery Partner,20992.54,15945.8,3760.67,0.26,0.72,225,0.5,42000.0,0
269,Bhilai,Freelancer,34533.78,10360.14,13282.42,0.74,0.93,57,0.78,147000.0,1
270,Raipur,Delivery Partner,27439.86,10695.28,11430.38,0.48,0.81,215,0.45,44000.0,0
271,Bilaspur,Delivery Partner,27081.78,21111.8,2421.79,0.4,0.96,91,0.55,80000.0,1
272,Bilaspur,Street Vendor,17900.28,14416.63,4454.48,0.24,0.34,128,0.12,60000.0,0
273,Bilaspur,Freelancer,34818.72,14732.47,22027.78,0.64,0.91,53,0.46,90000.0,0
274,Korba,Street Vendor,14276.96,9735.96,1822.12,0.3,0.37,153,0.15,51000.0,0
275,Durg,Street Vendor,10887.43,5678.67,5959.69,0.37,0.39,177,0.13,40000.0,0
